Wings,1927,Drama-Romance-War
The Broadway Melody,1928,Drama-Musical-Romance
All Quiet on the Western Front,1929,Drama-War
Cimarron,1930,Drama-Music-Western
Grand Hotel,1931,Drama-Romance
Cavalcade,1932,Drama-Romance-War
It Happened One Night,1934,Romance-Comedy
Mutiny on the Bounty,1935,Drama
The Great Ziegfeld,1936,Drama
The Life of Emile Zola,1937,Documentary-Drama
You Can't Take It with You,1938,Romance-Comedy
Rebecca,1940,Romance
How Green Was My Valley,1941,Drama
Mrs. Miniver,1942,Romance-Drama
Casablanca,1943,Drama-Romance
Going My Way,1944,Drama
The Lost Weekend,1945,Drama-Noir
The Best Years of Our Lives,1946,Drama-War
Gentleman's Agreement,1947,Drama-Romance
Hamlet,1948,Drama-Adaptation
All the Kings Men,1949,Drama
All About Eve,1950,Drama-Comedy
An American in Paris,1951,Musical-Romance
The Greatest Show on Earth,1952,Drama
From Here to Eternity,1953,Drama
On the Waterfront,1954,Drama-Crime
Marty,1955,Drama-Romance
Around the World in 80 Days,1956,Adventure
The Bridge on the River Kwai,1957,Drama-War
Gigi,1958,Musical-Romance
Ben-Hur,1959,Drama-Adventure
The Apartment,1960,Drama-Romance
West Side Story,1961,Drama-Musical
Lawrence of Arabia,1962,Drama-War
Tom Jones,1963,Drama-Comedy
My Fair Lady,1964,Drama-Musical
The Sound of Music,1965,Drama-Musical
A Man for All Seasons,1966,Drama-History
In the Heat of the Night,1967,Drama
Oliver!,1968,Drama-Musical
Midnight Cowboy,1969,Drama-Western
Patton,1970,Drama-War
The French Connection,1971,Drama-Crime
The Godfather,1972,Drama-Crime
The Sting,1973,Drama
The Godfather Part II,1974,Drama-Crime
One Flew over the Cuckoo's Nest,1975,Drama-Comedy drama
Rocky,1976,Drama-Sport
Annie Hall,1977,Romance-Comedy
The Deer Hunter,1978,Drama
Kramer vs. Kramer,1979,Drama
Ordinary People,1980,Drama-Tragedy
Chariots of Fire,1981,Drama
Gandhi,1982,Historical drama
Terms of Endearment,1983,Drama
Amadeus,1984,Drama-Historical
Out of Africa,1985,Drama-Romance
Platoon,1986,Drama
The Last Emperor,1987,Historical drama
Rain Man,1988,Drama
Driving Miss Daisy,1989,Drama-Comedy
Dances With Wolves,1990,Drama-Western
The Silence of the Lambs,1991,Drama-Thriller
Unforgiven,1992,Drama-Western
Schindler’s List,1993,Drama-War
Forrest Gump,1994,Drama-Romance
Braveheart,1995,Drama-War
The English Patient,1996,Drama-Romance
Titanic,1997,Drama
Shakespeare in Love,1998,Drama
American Beauty,1999,Drama-Romance
Gladiator,2000,Drama-Adventure
A Beautiful Mind,2001,Drama-Romance
Chicago,2002,Drama-Musical
The Lord of the Rings: The Return of the King,2003,Drama-Fantacy
Million Dollar Baby,2004,Drama-Classic
Crash,2005,Drama
The Departed,2006,Drama-Crime
No Country for Old Men,2007,Drama
Slumdog Millionaire,2008,Drama
The Hurt Locker,2009,Drama
The King's Speech,2010,Drama-Historic
